,URL
36,https://www.amazon.in/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD/ref=sxin_15_trfobq2av2_1_B0C8NSJ4RD?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C8NSJ4RD&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a
37,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_15_trfobq2av2_2_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a
38,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_15_trfobq2av2_3_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a
39,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_15_trfobq2av2_4_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a
40,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCD79P/ref=sxin_15_trfobq2av2_5_B08TDCD79P?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08TDCD79P&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a
41,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDH2LCP/ref=sxin_15_trfobq2av2_6_B08TDH2LCP?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08TDH2LCP&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a
42,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDGVLVM/ref=sxin_15_trfobq2av2_7_B08TDGVLVM?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08TDGVLVM&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a
43,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-4
44,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-5
45,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-6
46,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-7
47,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-8
48,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-9
49,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-10
50,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-11
